n,d,t
1000,576,0.02989548800396733
1000,939,0.06542983799939975
1000,548,0.027853794002439827
1000,20,0.0006657759973313659
1000,915,0.06424039999837987
1000,532,0.0282056579971686
1000,704,0.03902344400063157
1000,468,0.024164636007044465
1000,965,0.0686320880020503
1000,851,0.05754457000410184
1000,181,0.012054940003436059
1000,511,0.026826344004366547
1000,517,0.02525958200218156
1000,420,0.022130848000524565
1000,176,0.011349217998795211
1000,360,0.018558327994542198
1000,66,0.0041584460064768795
1000,248,0.01530000000144355
1000,992,0.06901854000403546
1000,310,0.016913510002195833
1000,683,0.03807397199678235
1000,421,0.022416379997739568
1000,769,0.050281510003842414
1000,721,0.04322386999847368
1000,349,0.018827996000181882
1000,895,0.06462333199917339
1000,215,0.014876960002584382
1000,499,0.026971208001486956
1000,739,0.04593273799750022
1000,448,0.022646944004809485
1000,201,0.013775109996786342
1000,430,0.024190687999362127
1000,655,0.037933874006848785
1000,260,0.014748490002239123
1000,957,0.06619088999927043
1000,383,0.020835111999185755
1000,277,0.015029812001157552
1000,544,0.026804799997480585
1000,775,0.052043523997999726
1000,839,0.05864406999666244
1000,649,0.03358135999413207
1000,801,0.05408380000269972
1000,875,0.060186838001245635
1000,305,0.01737761600059457
1000,83,0.0044492039980832485
1000,819,0.056477675997884946
1000,811,0.05470456200418994
1000,35,0.0011829880008008332
1000,317,0.01681837599724531
1000,166,0.011558891999302432
1000,826,0.0573767540010158
1000,358,0.01979612399591133
1000,916,0.06297397000249476
1000,699,0.037294724000385034
1000,250,0.015625512000406162
1000,26,0.0009625100041739643
1000,172,0.012682157999370247
1000,314,0.018370622004149482
1000,319,0.017548324001254514
1000,449,0.023988483995199202
1000,780,0.055422948001651096
1000,81,0.005061758003430441
1000,711,0.038549266001209614
1000,411,0.021660098000429572
1000,355,0.01806361799943261
1000,397,0.020829820001963525
1000,830,0.05603364799986593
1000,760,0.05240064999903552
1000,619,0.03237435200135223
1000,540,0.026730467999586834
1000,434,0.02344462599721737
1000,784,0.052159098000265657
1000,105,0.006043602002318948
1000,986,0.07028260600287467
1000,631,0.03172787399496883
1000,998,0.0684266419976484
1000,850,0.056242508003488186
1000,387,0.02027597199543379
1000,16,0.0005356799997389317
1000,145,0.012400079999351873
1000,564,0.03035043800016865
1000,726,0.04383385799708776
1000,928,0.06648101000115275
1000,693,0.04056545200292021
1000,578,0.029296716005774215
1000,207,0.0130118979990948
1000,31,0.0009850159985944629
